sentence,cryptocurrency,span_start,span_stop
This is my sentence that Bitcoin a cryptocurrency.,bitcoin,25,32
This is my sentence that BTC a cryptocurrency.,bitcoin,25,28
This Litecoin my sentence that contains a cryptocurrency.,litecoin,5,13
This LTC my sentence that contains a cryptocurrency.,litecoin,5,8
This Namecoin my sentence that contains a cryptocurrency.,namecoin,5,13
This NMC my sentence that contains a cryptocurrency.,namecoin,5,8
This is Terracoin sentence that contains a cryptocurrency.,terracoin,8,17
This is TRC sentence that contains a cryptocurrency.,terracoin,8,11
This is my Peercoin that contains a cryptocurrency.,peercoin,11,19
This is my PPC that contains a cryptocurrency.,peercoin,11,14
This is my sentence that contains a Novacoin,novacoin,36,44
This is my sentence that contains a NVC,novacoin,36,39
This is my Feathercoin that contains a cryptocurrency.,feathercoin,11,22
This is my FTC that contains a cryptocurrency.,feathercoin,11,14
This Mincoin my sentence that contains a cryptocurrency.,mincoin,5,12
This MNC my sentence that contains a cryptocurrency.,mincoin,5,8
This is my Freicoin that contains a cryptocurrency.,freicoin,11,19
This is my FRC that contains a cryptocurrency.,freicoin,11,14
Ixcoin is my sentence that contains a cryptocurrency.,ixcoin,0,6
IXC is my sentence that contains a cryptocurrency.,ixcoin,0,3
This is my BitBar that contains a cryptocurrency.,bitbar,11,17
This is my BTB that contains a cryptocurrency.,bitbar,11,14
This is my sentence that contains WorldCoin cryptocurrency.,worldcoin,34,43
This is my sentence that contains WDC cryptocurrency.,worldcoin,34,37
This is my sentence that contains a Digitalcoin,digitalcoin,36,47
This is my sentence that contains a DGC,digitalcoin,36,39
This is GoldCoin sentence that contains a cryptocurrency.,goldcoin,8,16
This is GLD sentence that contains a cryptocurrency.,goldcoin,8,11
This is my sentence that contains a Argentum,argentum,36,44
This is my sentence that contains a ARG,argentum,36,39
This is my sentence that contains a Fastcoin,fastcoin,36,44
This is my sentence that contains a FST,fastcoin,36,39
Bitgem is my sentence that contains a cryptocurrency.,bitgem,0,6
BTG is my sentence that contains a cryptocurrency.,bitgem,0,3
This is my Phoenixcoin that contains a cryptocurrency.,phoenixcoin,11,22
This is my PXC that contains a cryptocurrency.,phoenixcoin,11,14
Megacoin is my sentence that contains a cryptocurrency.,megacoin,0,8
MEC is my sentence that contains a cryptocurrency.,megacoin,0,3
This is my sentence that contains a Infinitecoin,infinitecoin,36,48
This is my sentence that contains a IFC,infinitecoin,36,39
This is my Primecoin that contains a cryptocurrency.,primecoin,11,20
This is my XPM that contains a cryptocurrency.,primecoin,11,14
This is Anoncoin sentence that contains a cryptocurrency.,anoncoin,8,16
This is ANC sentence that contains a cryptocurrency.,anoncoin,8,11
This is my sentence that CasinoCoin a cryptocurrency.,casinocoin,25,35
This is my sentence that CSC a cryptocurrency.,casinocoin,25,28
This is my sentence that contains a Bullion,bullion,36,43
This is my sentence that contains a CBX,bullion,36,39
This is my sentence Emerald Crypto contains a cryptocurrency.,emerald,20,34
This is my sentence EMD contains a cryptocurrency.,emerald,20,23
This is my GlobalCoin that contains a cryptocurrency.,globalcoin,11,21
This is my GLC that contains a cryptocurrency.,globalcoin,11,14
This is my sentence XRP contains a cryptocurrency.,ripple,20,23
This is my sentence XRP contains a cryptocurrency.,ripple,20,23
This is my sentence that contains Quark cryptocurrency.,quark,34,39
This is my sentence that contains QRK cryptocurrency.,quark,34,37
This is my sentence that Zetacoin a cryptocurrency.,zetacoin,25,33
This is my sentence that ZET a cryptocurrency.,zetacoin,25,28
This SecureCoin my sentence that contains a cryptocurrency.,securecoin,5,15
This SRC my sentence that contains a cryptocurrency.,securecoin,5,8
This is my Sexcoin that contains a cryptocurrency.,sexcoin,11,18
This is my SXC that contains a cryptocurrency.,sexcoin,11,14
This is my TagCoin that contains a cryptocurrency.,tagcoin,11,18
This is my TAG that contains a cryptocurrency.,tagcoin,11,14
This is my sentence I0Coin contains a cryptocurrency.,i0coin,20,26
This is my sentence I0C contains a cryptocurrency.,i0coin,20,23
This is my sentence that contains a FlorinCoin,florincoin,36,46
This is my sentence that contains a FLO,florincoin,36,39
This is my sentence that contains Nxt cryptocurrency.,nxt,34,37
This is my sentence that contains NXT cryptocurrency.,nxt,34,37
This is my Unobtanium that contains a cryptocurrency.,unobtanium,11,21
This is my UNO that contains a cryptocurrency.,unobtanium,11,14
This is my sentence that contains a Joulecoin,joulecoin,36,45
This is my sentence that contains a XJO,joulecoin,36,39
This is my Datacoin that contains a cryptocurrency.,datacoin,11,19
This is my DTC that contains a cryptocurrency.,datacoin,11,14
This is BetaCoin sentence that contains a cryptocurrency.,betacoin,8,16
This is BET sentence that contains a cryptocurrency.,betacoin,8,11
This is my GrandCoin that contains a cryptocurrency.,grandcoin,11,20
This is my GDC that contains a cryptocurrency.,grandcoin,11,14
Deutsche eMark is my sentence that contains a cryptocurrency.,deutsche-emark,0,14
DEM is my sentence that contains a cryptocurrency.,deutsche-emark,0,3
Dogecoin is my sentence that contains a cryptocurrency.,dogecoin,0,8
DOGE is my sentence that contains a cryptocurrency.,dogecoin,0,4
This NetCoin my sentence that contains a cryptocurrency.,netcoin,5,12
This NET my sentence that contains a cryptocurrency.,netcoin,5,8
Philosopher Stones is my sentence that contains a cryptocurrency.,philosopher-stones,0,18
PHS is my sentence that contains a cryptocurrency.,philosopher-stones,0,3
This is my sentence that contains a Diamond,diamond,36,43
This is my sentence that contains a DMD,diamond,36,39
This is my sentence that contains HoboNickels cryptocurrency.,hobonickels,34,45
This is my sentence that contains HBN cryptocurrency.,hobonickels,34,37
This is my sentence that Tigercoin a cryptocurrency.,tigercoin,25,34
This is my sentence that TGC a cryptocurrency.,tigercoin,25,28
This is my sentence Orbitcoin contains a cryptocurrency.,orbitcoin,20,29
This is my sentence ORB contains a cryptocurrency.,orbitcoin,20,23
This Omni my sentence that contains a cryptocurrency.,omni,5,9
This OMNI my sentence that contains a cryptocurrency.,omni,5,9
This is Catcoin sentence that contains a cryptocurrency.,catcoin,8,15
This is CAT sentence that contains a cryptocurrency.,catcoin,8,11
This is FedoraCoin sentence that contains a cryptocurrency.,fedoracoin,8,18
This is TIPS sentence that contains a cryptocurrency.,fedoracoin,8,12
RonPaulCoin is my sentence that contains a cryptocurrency.,ronpaulcoin,0,11
RPC is my sentence that contains a cryptocurrency.,ronpaulcoin,0,3
This is my sentence that contains a Mooncoin,mooncoin,36,44
This is my sentence that contains a MOON,mooncoin,36,40
This is my sentence Dimecoin contains a cryptocurrency.,dimecoin,20,28
This is my sentence DIME contains a cryptocurrency.,dimecoin,20,24
This is my 42-coin that contains a cryptocurrency.,42-coin,11,18
This is my 42 that contains a cryptocurrency.,42-coin,11,13
This is my sentence that contains a Vertcoin,vertcoin,36,44
This is my sentence that contains a VTC,vertcoin,36,39
This KlondikeCoin my sentence that contains a cryptocurrency.,klondikecoin,5,17
This KDC my sentence that contains a cryptocurrency.,klondikecoin,5,8
This is RedCoin sentence that contains a cryptocurrency.,redcoin,8,15
This is RED sentence that contains a cryptocurrency.,redcoin,8,11
This is my sentence that contains a DigiByte,digibyte,36,44
This is my sentence that contains a DGB,digibyte,36,39
This is my sentence that contains a SmartCoin,smartcoin,36,45
This is my sentence that contains a SMC,smartcoin,36,39
This is my sentence that contains TeslaCoin cryptocurrency.,teslacoin,34,43
This is my sentence that contains TES cryptocurrency.,teslacoin,34,37
This is my sentence that NobleCoin a cryptocurrency.,noblecoin,25,34
This is my sentence that NOBL a cryptocurrency.,noblecoin,25,29
This is my ReddCoin that contains a cryptocurrency.,reddcoin,11,19
This is my RDD that contains a cryptocurrency.,reddcoin,11,14
Nyancoin is my sentence that contains a cryptocurrency.,nyancoin,0,8
NYAN is my sentence that contains a cryptocurrency.,nyancoin,0,4
